s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
4364.000000,-474.438983,759.839665,-0.005116,6.048684,6.048684,3.280283
4366.000000,-473.666938,757.990937,-0.001807,6.051930,6.051930,3.222324
4368.000000,-472.900693,756.139788,0.000613,6.062423,6.062423,3.157468
4370.000000,-472.128390,754.291159,0.000751,6.063906,6.063906,3.098932
4372.000000,-471.353314,752.443689,0.000085,6.063704,6.063704,3.042932
4374.000000,-470.578716,750.596019,-0.000041,6.063086,6.063086,2.985313
4376.000000,-469.804672,748.748118,0.000061,6.063726,6.063726,2.925636
4378.000000,-469.029653,746.900625,-0.000023,6.063259,6.063259,2.866102
4380.000000,-468.255123,745.052926,-0.000126,6.062806,6.062806,2.806224
4382.000000,-467.480937,743.205084,-0.000088,6.063002,6.063002,2.746708
4384.000000,-466.707436,741.356955,0.000015,6.062680,6.062680,2.687294
4386.000000,-465.933522,739.508998,-0.000003,6.062685,6.062685,2.628803
4388.000000,-465.159523,737.661078,-0.000096,6.062225,6.062225,2.570636
4390.000000,-464.386146,735.812897,-0.000112,6.061388,6.061388,2.511832
4392.000000,-463.613031,733.964606,-0.000149,6.060585,6.060585,2.453025
4394.000000,-462.840432,732.116100,-0.000459,6.059717,6.059717,2.394242
4396.000000,-462.068747,730.267212,-0.000493,6.060019,6.060019,2.335463
4398.000000,-461.301517,728.416470,0.000839,6.065643,6.065643,2.272522
4400.000000,-460.531771,726.566776,0.003485,6.068457,6.068457,2.211912
4402.000000,-459.750185,724.722064,0.005227,6.057931,6.057931,2.162855
4404.000000,-458.943322,722.888283,0.003508,6.020193,6.020193,2.139760
4406.000000,-458.121827,721.060982,-0.001168,5.965455,5.965455,2.131005
4408.000000,-457.303275,719.232364,-0.004618,5.915133,5.915133,2.117123
4410.000000,-456.510649,717.392365,-0.004120,5.891853,5.891853,2.073314
4412.000000,-455.731165,715.546756,-0.002293,5.883563,5.883563,2.014253
4414.000000,-454.960218,713.697563,-0.001016,5.884507,5.884507,1.945858
4416.000000,-454.192977,711.846826,0.000067,5.889270,5.889270,1.874429
4418.000000,-453.424835,709.996464,0.000498,5.892602,5.892602,1.805449
4420.000000,-452.653798,708.147306,0.000284,5.892576,5.892576,1.741292
4422.000000,-451.882066,706.298437,0.000051,5.892490,5.892490,1.679797
4424.000000,-451.110402,704.449540,0.000099,5.892156,5.892156,1.620307
4426.000000,-450.338548,702.600722,0.000192,5.891474,5.891474,1.562742
4428.000000,-449.565539,700.752388,0.000198,5.890853,5.890853,1.507940
4430.000000,-448.792191,698.904194,0.000178,5.889279,5.889279,1.454945
4432.000000,-448.017745,697.056461,0.000088,5.886666,5.886666,1.403777
4434.000000,-447.243193,695.208772,-0.000036,5.884646,5.884646,1.352770
4436.000000,-446.468653,693.361078,-0.000064,5.882424,5.882424,1.300835
4438.000000,-445.694721,691.513129,0.000009,5.879944,5.879944,1.247344
4440.000000,-444.920504,689.665300,0.000023,5.878055,5.878055,1.194007
4442.000000,-444.146116,687.817542,0.000020,5.876053,5.876053,1.141010
4444.000000,-443.372017,685.969663,0.000067,5.874061,5.874061,1.087735
4446.000000,-442.597215,684.122079,0.000033,5.872198,5.872198,1.034932
4448.000000,-441.822538,682.274443,0.000036,5.871013,5.871013,0.981509
4450.000000,-441.047831,680.426819,0.000053,5.870125,5.870125,0.929759
4452.000000,-440.272528,678.579445,-0.000037,5.869262,5.869262,0.883134
4454.000000,-439.497660,676.731888,-0.000040,5.868207,5.868207,0.842013
4456.000000,-438.723072,674.884214,0.000051,5.866464,5.866464,0.807896
4458.000000,-437.948088,673.036707,0.000078,5.865500,5.865500,0.781785
4460.000000,-437.172864,671.189299,0.000056,5.865001,5.865001,0.762773
4462.000000,-436.397353,669.342013,0.000059,5.864161,5.864161,0.750855
4464.000000,-435.621831,667.494730,0.000276,5.864260,5.864260,0.744127
4466.000000,-434.845744,665.647686,0.000637,5.863676,5.863676,0.740875
4468.000000,-434.066718,663.801879,0.000227,5.860097,5.860097,0.742370
4470.000000,-433.284705,661.957336,-0.001505,5.853825,5.853825,0.747470
4472.000000,-432.508244,660.110452,-0.003695,5.853556,5.853556,0.746148
4474.000000,-431.745960,658.257680,-0.004594,5.868830,5.868830,0.729197
4476.000000,-431.004627,656.396426,-0.002989,5.906699,5.906699,0.689631
4478.000000,-430.275573,654.530317,0.000660,5.958505,5.958505,0.636896
4480.000000,-429.545559,652.664583,0.003995,6.008708,6.008708,0.585329
4482.000000,-428.795345,650.806899,0.004452,6.038281,6.038281,0.556052
4484.000000,-428.026973,648.956640,0.002755,6.047863,6.047863,0.547364
4486.000000,-427.248907,647.110429,0.000893,6.047094,6.047094,0.550165
4488.000000,-426.467520,645.265620,-0.000372,6.043180,6.043180,0.557471
4490.000000,-425.689243,643.419498,-0.000588,6.042512,6.042512,0.562251
4492.000000,-424.913573,641.572278,-0.000250,6.044558,6.044558,0.565038
4494.000000,-424.138280,639.724900,-0.000041,6.046564,6.046564,0.568291
4496.000000,-423.363325,637.877380,0.000004,6.049031,6.049031,0.572015
4498.000000,-422.587925,636.030047,-0.000075,6.052214,6.052214,0.576783
4500.000000,-421.813023,634.182504,-0.000109,6.055288,6.055288,0.581255
4502.000000,-421.038685,632.334726,-0.000018,6.058671,6.058671,0.584997
4504.000000,-420.264333,630.486953,0.000478,6.061957,6.061957,0.588203
4506.000000,-419.489707,628.639295,0.000981,6.065803,6.065803,0.590928
