s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
170.000000,-325.133833,820.239482,0.000039,7.852025,7.795036,-1.919701
172.000000,-326.194529,821.932453,0.000040,7.853318,7.797049,-1.968720
174.000000,-327.255362,823.625340,0.000041,7.854452,7.798996,-2.017615
176.000000,-328.320049,825.324064,0.000043,7.855610,7.801154,-2.066607
178.000000,-329.381166,827.016772,0.000044,7.856827,7.803554,-2.115386
180.000000,-330.442432,828.709386,0.000045,7.858018,7.806039,-2.164063
182.000000,-331.507567,830.407831,0.000046,7.859145,7.808479,-2.212716
184.000000,-332.569142,832.100251,0.000048,7.860341,7.810860,-2.260948
186.000000,-333.630879,833.792571,0.000049,7.861787,7.813222,-2.308982
188.000000,-334.692780,835.484787,0.000050,7.863435,7.815603,-2.356854
190.000000,-335.758569,837.182820,0.000050,7.865027,7.818046,-2.404761
192.000000,-336.820813,838.874821,0.000050,7.866353,7.820531,-2.452387
194.000000,-337.883224,840.566716,0.000048,7.867484,7.822926,-2.499908
196.000000,-338.949517,842.264433,0.000045,7.868555,7.825073,-2.547412
198.000000,-340.012243,843.956130,0.000043,7.869691,7.827017,-2.594458
200.000000,-341.075118,845.647737,0.000041,7.871026,7.829038,-2.641122
202.000000,-342.141850,847.345176,0.000039,7.872626,7.831341,-2.687569
204.000000,-343.204996,849.036612,0.000037,7.874270,7.833806,-2.733521
206.000000,-344.268265,850.727968,0.000035,7.875706,7.836267,-2.779205
208.000000,-345.335374,852.425171,0.000033,7.876900,7.838670,-2.824879
210.000000,-346.398873,854.116384,0.000031,7.878023,7.841048,-2.870312
212.000000,-347.462474,855.807532,0.000029,7.879217,7.843444,-2.915686
214.000000,-348.529897,857.504538,0.000026,7.880438,7.845855,-2.961194
216.000000,-349.593684,859.195570,0.000024,7.881588,7.848240,-3.006663
218.000000,-350.657553,860.886549,0.000022,7.882724,7.850621,-3.052570
220.000000,-351.725223,862.583401,0.000020,7.884032,7.853055,-3.099323
222.000000,-352.789234,864.274291,0.000018,7.885610,7.855538,-3.146638
224.000000,-353.853308,865.965142,0.000016,7.887261,7.857933,-3.194601
226.000000,-354.917434,867.655960,0.000014,7.888725,7.860075,-3.243141
228.000000,-355.985331,869.352668,0.000012,7.889940,7.862026,-3.292330
230.000000,-357.049544,871.043431,0.000009,7.891023,7.864046,-3.341642
232.000000,-358.113787,872.734175,0.000007,7.892109,7.866340,-3.391043
234.000000,-359.181781,874.430821,0.000005,7.893332,7.868814,-3.440494
236.000000,-360.246068,876.121539,0.000003,7.894808,7.871280,-3.489542
238.000000,-361.310365,877.812250,0.000001,7.896461,7.873681,-3.538274
240.000000,-362.378390,879.508876,-0.000001,7.898035,7.876056,-3.586777
242.000000,-363.442687,881.199588,-0.000003,7.899326,7.878423,-3.634625
244.000000,-364.506971,882.890306,-0.000005,7.900460,7.880827,-3.681907
246.000000,-365.574963,884.586954,-0.000007,7.901618,7.883304,-3.728699
248.000000,-366.639206,886.277698,-0.000010,7.902834,7.885766,-3.774586
250.000000,-367.703416,887.968464,-0.000012,7.904026,7.888048,-3.819762
252.000000,-368.771311,889.665172,-0.000014,7.905152,7.890065,-3.864878
254.000000,-369.835434,891.355993,-0.000016,7.906350,7.892013,-3.910032
256.000000,-370.899504,893.046846,-0.000018,7.907797,7.894167,-3.955503
258.000000,-371.963512,894.737739,-0.000020,7.909445,7.896570,-4.001391
260.000000,-373.031176,896.434593,-0.000022,7.911037,7.899061,-4.047882
262.000000,-374.095042,898.125575,-0.000024,7.912359,7.901484,-4.094644
264.000000,-375.158824,899.816609,-0.000026,7.913490,7.903863,-4.141838
266.000000,-376.226240,901.513619,-0.000029,7.914562,7.906257,-4.189627
268.000000,-377.289837,903.204771,-0.000031,7.915699,7.908660,-4.237686
