s_m,x_m,y_m,kappa_radpm,w_tr_right_m,w_tr_left_m,d_m
168.000000,263.279421,-782.041542,-0.000622,7.072300,7.339939,5.332893
170.000000,263.075108,-784.030894,-0.000568,7.085896,7.333053,5.360854
172.000000,262.868539,-786.020011,-0.000512,7.098608,7.326143,5.384427
174.000000,262.659485,-788.013158,-0.000458,7.110786,7.319360,5.403596
176.000000,262.449049,-790.001869,-0.000404,7.123181,7.312794,5.418242
178.000000,262.237009,-791.990409,-0.000349,7.136018,7.306403,5.428490
180.000000,262.023578,-793.978801,-0.000295,7.148885,7.300057,5.434424
182.000000,261.808977,-795.967066,-0.000240,7.161440,7.293660,5.436012
184.000000,261.593420,-797.955228,-0.000186,7.173752,7.287251,5.433147
186.000000,261.377123,-799.943309,-0.000131,7.185995,7.280903,5.425574
188.000000,261.160303,-801.931335,-0.000077,7.198320,7.274568,5.412750
190.000000,260.943178,-803.919325,-0.000022,7.210855,7.268075,5.393812
192.000000,260.725964,-805.907306,0.000032,7.223658,7.261317,5.367500
194.000000,260.508877,-807.895302,0.000086,7.236503,7.254465,5.332426
196.000000,260.292132,-809.883335,0.000142,7.249102,7.247761,5.287562
198.000000,260.075938,-811.871533,0.000197,7.261453,7.241307,5.232307
200.000000,259.860541,-813.859715,0.000251,7.273852,7.235073,5.166127
202.000000,259.646149,-815.848004,0.000302,7.286529,7.228948,5.088449
204.000000,259.432959,-817.836423,0.000355,7.299401,7.222535,4.998248
206.000000,259.221164,-819.824992,0.000419,7.312297,7.215410,4.894201
208.000000,259.011019,-821.813735,0.000468,7.324930,7.208087,4.774948
210.000000,258.802844,-823.802686,0.000363,7.336891,7.202053,4.639156
212.000000,258.596523,-825.791830,-0.000002,7.348457,7.198352,4.485081
214.000000,258.390295,-827.780983,-0.000511,7.362645,7.196069,4.309209
216.000000,258.181993,-829.769918,-0.001015,7.382835,7.193960,4.107394
218.000000,257.969617,-831.758422,-0.001503,7.404258,7.194910,3.875860
220.000000,257.750862,-833.750516,-0.002086,7.413933,7.205999,3.611152
222.000000,257.524530,-835.737512,-0.002828,7.402413,7.232026,3.310677
224.000000,257.286993,-837.723180,-0.003432,7.376311,7.268210,2.967401
226.000000,257.034987,-839.707040,-0.003407,7.345966,7.307512,2.573092
228.000000,256.768650,-841.689050,-0.002602,7.314823,7.347529,2.121519
230.000000,256.491383,-843.669583,-0.000719,7.279397,7.390526,1.610370
232.000000,256.209055,-845.649379,0.002579,7.239003,7.436890,1.038773
234.000000,255.936400,-847.630510,0.006667,7.205619,7.478535,0.416773
236.000000,255.690334,-849.615329,0.010761,7.194268,7.505762,-0.239926
238.000000,255.487197,-851.605112,0.014690,7.213350,7.523490,-0.914183
240.000000,255.342742,-853.600064,0.018441,7.264294,7.551989,-1.588631
242.000000,255.272410,-855.595380,0.021915,7.346960,7.596921,-2.244155
244.000000,255.289570,-857.595991,0.024997,7.457327,7.599456,-2.867519
246.000000,255.407688,-859.593339,0.027402,7.589200,7.486054,-3.444273
248.000000,255.636056,-861.581397,0.029218,7.722510,7.274113,-3.970190
250.000000,255.979177,-863.548872,0.031093,7.821704,7.080749,-4.442645
252.000000,256.443992,-865.495775,0.033590,7.860462,7.002175,-4.857683
254.000000,257.036814,-867.403072,0.036726,7.855010,7.020022,-5.204134
256.000000,257.769107,-869.267406,0.040768,7.834518,7.081206,-5.475960
258.000000,258.648120,-871.062864,0.045536,7.818246,7.151367,-5.659737
260.000000,259.686892,-872.769362,0.048731,7.814237,7.217599,-5.745212
262.000000,260.891240,-874.364683,0.048910,7.824795,7.273909,-5.726708
264.000000,262.246774,-875.834682,0.046657,7.834416,7.333816,-5.605560
266.000000,263.734019,-877.168468,0.041899,7.824991,7.412965,-5.378940
268.000000,265.332591,-878.373779,0.035363,7.798040,7.497787,-5.044384
270.000000,267.008643,-879.461592,0.029039,7.768978,7.553534,-4.616004
272.000000,268.746556,-880.453060,0.023715,7.747697,7.560567,-4.112559
274.000000,270.528889,-881.360935,0.019176,7.731739,7.531799,-3.553683
276.000000,272.344363,-882.200612,0.015274,7.716939,7.484587,-2.959963
278.000000,274.184266,-882.984866,0.011952,7.701714,7.429367,-2.350444
280.000000,276.042314,-883.725278,0.009172,7.686093,7.372217,-1.738790
282.000000,277.913113,-884.432252,0.006975,7.670341,7.317144,-1.136023
284.000000,279.793476,-885.113189,0.005048,7.655207,7.262923,-0.549077
286.000000,281.680633,-885.774961,0.003060,7.641391,7.207541,0.015328
288.000000,283.571826,-886.425053,0.000973,7.627340,7.151882,0.549226
290.000000,285.464307,-887.071461,-0.001152,7.609612,7.099258,1.043684
292.000000,287.355304,-887.722215,-0.003290,7.587692,7.050250,1.490291
294.000000,289.241968,-888.385382,-0.005460,7.571812,6.995294,1.882960
296.000000,291.121399,-889.069050,-0.007705,7.573545,6.923545,2.218050
298.000000,292.990156,-889.781519,-0.010029,7.575669,6.851123,2.494064
300.000000,294.844252,-890.531311,-0.012398,7.531612,6.821633,2.710361
